Código,Descrição,Início de Vigência,Fim de Vigência
000,MERCADORIAS NAO-NEGOCIADAS NO AMBITO DA ALADI,24/02/1997,-
109,ACORDO ALCANCE PARCIAL N. 9 - BRASIL/MEXICO,21/12/1996,-
110,ACORDO ALCANCE PARCIAL N. 10 - BRASIL/COLOMBIA,21/12/1996,-
111,ACORDO ALCANCE PARCIAL N. 11 - BRASIL/EQUADOR,21/12/1996,-
205,A. A. P. COMERCIAL N. 5 - IND. QUIM. - BR/AR/CH/ME/PE/UR,21/12/1996,-
209,A.A.P. COMERCIAL N. 9 - IND. DE ELETR. - BRASIL/MEXICO,21/12/1996,-
210,A.A.P. COMERCIAL N. 10 - MAQ. ESCRITORIO - BR/AR/ME,21/12/1996,-
212,A.A.P. COMERCIAL N. 12 - IND. ELETRONICA - BRASIL/MEXICO,21/12/1996,-
213,A.A.P. COMERCIAL N. 13 - IND. FONOGR.- BR/AR/ME/UR,21/12/1996,-
215,A.A.P. COMERCIAL N. 15 - IND.QUIMICO-FARMAC.- BR/AR/ME,21/12/1996,-
216,A.A.P. COMERCIAL N. 16 - IND.QUIM.-PETROL.- BR/AR/CH/ME/UR,21/12/1996,-
217,A.A.P. COM. 17A/17B -IND.REFR. AR COND. E APAR. ELET. BR/AR,21/12/1996,-
218,A.A.P. COMERCIAL N. 18 - IND. FOTOGRAFICA - BR/AR/ME/UR,21/12/1996,-
219,A.A.P. COMERCIAL N. 19 -IND.ELETR./COMUNIC. - BR/AR/ME/UR,21/12/1996,-
220,A.A.P. COMERCIAL N. 20 - IND. CORAN. PIGM. - BR/AR/CH/ME,21/12/1996,-
221,A.A.P. COMERCIAL N. 21 - IND. QUIMICA - BR/AR/CH/ME/UR,21/12/1996,-
222,A.A.P. COMERCIAL N. 22 - IND. OLEOS E ESSENCIAIS - BR/AR/ME,21/12/1996,-
226,A.A.P. COMERCIAL N. 26 - APAR. MED. E HOSPITALAR - BR/AR/ME,21/12/1996,-
227,A.A.P. COMERCIAL N. 27 - IND. DO VIDRO - BRASIL/MEXICO,21/12/1996,-
302,ACORDO DE COMPLEMENTACAO ECONOMICA N.02 - BRASIL/URUGUAI-PEC,09/04/2008,-
318,ACORDO DE COMPLEMENTACAO ECONOMICA N. 18 - MERCOSUL,21/12/1996,-
325,ACORDO DE COMPLEMENTACAO ECONOMICA N. 25 - BRASIL/PERU,21/12/1996,-
327,ACORDO DE COMPLEMENTACAO ECONOMICA N. 27 - BRASIL/VENEZUELA,21/12/1996,-
334,ACORDO DE COMPLEMENTACAO ECONOMICA N. 34 - MERCOSUL/BOLIVIA,21/12/1996,-
335,ACORDO DE COMPLEMENTACAO ECONOMICA N. 35 - MERCOSUL/CHILE,21/12/1996,-
336,ACORDO DE COMPLEMENTACAO ECONOMICA N. 36 - MERCOSUL/BOLIVIA,03/01/2006,-
339,ACORDO DE COMPLEMENTACAO ECONOMICA N. 39 - COMUNIDADE ANDINA,04/05/2006,-
341,ACORDO DE COMPLEMENTACAO ECONOMICA N. 14 - BR/AR -LISTA GER.,21/12/1996,-
342,ACORDO COMPL. ECONOMICA N. 14 - BR/AR - LISTA BENS CAPITAL,21/12/1996,-
343,ACORDO DE COMPL. ECONOMICA N. 14 - BR/AR - LISTA SETOR ALIM.,21/12/1996,-
344,ACORDO DE COMPL. ECONOMICA N. 14 - BR/AR/ - SETOR AUTOMOTRIZ,21/12/1996,-
345,ACORDO DE COMPL. ECONOMICA N. 14 - BR/AR - SET. ENER. NUCLE.,21/12/1996,-
353,ACORDO DE COMPLEMENTACAO ECONOMICA N. 53 - BRASIL/MEXICO,09/04/2008,-
354,ACORDO DE COMPLEMENTACAO ECONOMICA N. 54 - MERCOSUL/MEXICO,09/04/2008,-
355,ACORDO DE COMPLEMEMTACAO ECONOMICA N. 55 - MERCOSUL/ME,09/04/2008,-
358,ACORDO DE COMPLEMENTACAO ECONOMICA N. 58 - MERCOSUL/PERU,09/04/2008,-
359,ACORDO DE COMPLEMENTACAO ECONOMICA N. 59 - MERCOSUL/COMUNIDA-DE ANDINA.,29/12/2010,-
362,ACORDO DE COMPLEMENTACAO ECONOMICA N. 62 - MERCOSUL/CUBA,09/04/2008,-
369,"ACORDO DE COMPLEMENTACAO ECONOMICA N. 69 - FIRMADO ENTRE A RE-PUBLICA FEDERATIVA DO BRASIL E A REP.BOLIVARIANA DA VENEZUELA",30/07/2015,-
399,ACORDO DE COMPLEMENTACAO ECONOMICA N. 43 - BRASIL/CUBA,09/04/2008,-
421,ACORDO DE ALCANCE PARCIAL N. 21 - BRASIL/CUBA,21/12/1996,-
438,ACORDO DE ALCANCE PARCIAL N. 38 - BRASIL/GUIANA.,14/01/2002,-
441,ACORDO DE ALCANCE PARCIAL N. 41 - BRASIL/SURINAME,09/04/2008,-
501,ACORDO DE ABERTURA DE MERCADO N. 1 - BRASIL/BOLIVIA,21/12/1996,-
502,ACORDO DE ABERTURA DE MERCADO N. 2 - BRASIL/EQUADOR,21/12/1996,-
503,ACORDO DE ABERTURA DE MERCADO N. 3 - BRASIL/PARAGUAI,21/12/1996,-
504,APTR N. 4 - BR/AR/CB/PA/EQ/CH/CO/PE/UR/VE/ME,15/10/2004,-
602,AAP. PARA A LIBERACAO E EXPANSAO DO COMERCIO INTRA-REGIONAL DE SEMENTES (AR/BO/BR/CH/CB/EQ/PE E UR),19/03/2009,-
706,A.C.I. - DEFESA MEIO-AMBIENTE - BRASIL/ARGENTINA/ URUGUAI,21/12/1996,-
707,"AAP. DE COOPERACAO E INTERCAMBIO DE BENS NAS AREAS CULTURAL EDUCACIONAL E CIENTIFICA (AR/BR/CH/ME E UR)",19/03/2009,-
802,A.A.P. - FORNECIMENTO DE GAS NATURAL - BRASIL/BOLIVIA,21/12/1996,-
904,PROTOCOLO DE EXPANSAO COMERCIAL (PEC) - BRASI/URUGUAI.,09/04/2008,-